year,month,category,total_quantity,promo_share,discount_rate
2024,1,Bags,746,0.9758713136729222,0.28873011946365046
2024,2,Bags,412,0.0,0.0010812605681424564
2024,3,Bags,643,0.0,0.0012400372703939369
2024,4,Bags,682,0.0,-0.0008545691580658171
2024,5,Bags,576,0.0,0.001075852716092174
2024,6,Bags,560,0.0,0.0015551147515788842
2024,7,Bags,929,1.0,0.34636052950233837
2024,8,Bags,504,0.0,-0.0005394621701920225
2024,9,Bags,799,0.0,-0.0008907068167647846
2024,10,Bags,846,0.0,0.00014669598210063968
2024,11,Bags,934,0.36295503211991437,0.14466414583909742
2024,12,Bags,1007,0.5263157894736842,0.10338179695633294
2025,1,Bags,798,0.9786967418546366,0.28943406892133844
2025,2,Bags,484,0.0,-0.0008601963680597794
2025,3,Bags,769,0.0,-0.0013743998519803434
2025,4,Bags,772,0.0,0.0005660391002029086
2025,5,Bags,703,0.0,-0.0010125940535461802
2025,6,Bags,728,0.0,0.002399485443259481
2025,7,Bags,1094,1.0,0.343875480573774
2025,8,Bags,603,0.0,-0.0010180239193414416
2025,9,Bags,997,0.0,-0.00012286146018701416
2025,10,Bags,940,0.0,-0.0008591750933811004
2025,11,Bags,1113,0.3719676549865229,0.14954159156535596
2025,12,Bags,1259,0.4789515488482923,0.09369252903458422
2024,1,Coats,2754,0.981118373275236,0.2928687094071755
2024,2,Coats,1511,0.0,0.0011675277635077865
2024,3,Coats,1019,0.0,0.0003129132640980639
2024,4,Coats,1018,0.0,0.0
2024,5,Coats,792,0.0,0.0010291541029977427
2024,6,Coats,804,0.0,0.0029371247584246045
2024,7,Coats,1312,1.0,0.34566638110008296
2024,8,Coats,811,0.0,0.0004608410826971834
2024,9,Coats,1222,0.0,0.0014691511778146874
2024,10,Coats,1277,0.0,0.0004500075737881838
2024,11,Coats,3545,0.39492242595204513,0.15957377154044727
2024,12,Coats,4034,0.4923153197818542,0.09838841737987737
2025,1,Coats,3218,0.9829086389061529,0.2924143488247275
2025,2,Coats,1715,0.0,0.00012118649525510173
2025,3,Coats,1232,0.0,0.0
2025,4,Coats,1269,0.0,0.001365670357523924
2025,5,Coats,948,0.0,0.0018385164407456378
2025,6,Coats,978,0.0,0.002272514136651036
2025,7,Coats,1445,1.0,0.34615306317713784
2025,8,Coats,965,0.0,0.0009149708804787701
2025,9,Coats,1270,0.0,0.00021373237212015794
2025,10,Coats,1457,0.0,0.0001851848760404663
2025,11,Coats,4288,0.3962220149253731,0.15909524858460378
2025,12,Coats,4464,0.49036738351254483,0.09924117265699967
2024,1,Dresses,1448,0.9737569060773481,0.2911219444438561
2024,2,Dresses,772,0.0,0.004325931605944577
2024,3,Dresses,1218,0.0,0.0001441760754401768
2024,4,Dresses,1357,0.0,0.00022926684638458058
2024,5,Dresses,2276,0.0,0.0011443053803254974
2024,6,Dresses,2296,0.0,0.0006114613189282799
2024,7,Dresses,3799,1.0,0.3472395278517609
2024,8,Dresses,2354,0.0,0.00047775167148305135
2024,9,Dresses,1472,0.0,0.002462909507158688
2024,10,Dresses,1527,0.0,0.0003756551015769183
2024,11,Dresses,1759,0.38828880045480385,0.1567745764879963
2024,12,Dresses,1921,0.0,0.0006965344037571493
2025,1,Dresses,1660,0.9734939759036144,0.2860807542859819
2025,2,Dresses,911,0.0,0.0011095554722288807
2025,3,Dresses,1499,0.0,0.002032654652121632
2025,4,Dresses,1525,0.0,0.000487309204909911
2025,5,Dresses,2905,0.0,0.0008438276668962887
2025,6,Dresses,3029,0.0,0.0001285772169010832
2025,7,Dresses,4601,1.0,0.3484303872145834
2025,8,Dresses,2755,0.0,0.0004789524026545247
2025,9,Dresses,1719,0.0,0.0014077779957723247
2025,10,Dresses,1847,0.0,0.0008407788084645231
2025,11,Dresses,2160,0.43842592592592594,0.17567840272143584
2025,12,Dresses,2428,0.0,0.0014221567970129757
2024,1,Hoodies,340,0.9794117647058823,0.2929480602312748
2024,2,Hoodies,212,0.0,0.0
2024,3,Hoodies,123,0.0,0.0
2024,4,Hoodies,108,0.0,0.0
2024,5,Hoodies,110,0.0,0.0
2024,6,Hoodies,133,0.0,0.0
2024,7,Hoodies,195,1.0,0.3370904210195117
2024,8,Hoodies,109,0.0,0.0
2024,9,Hoodies,161,0.0,0.0
2024,10,Hoodies,162,0.0,0.0
2024,11,Hoodies,388,0.32216494845360827,0.1283649740737494
2024,12,Hoodies,469,0.0,0.0
